INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (1,'Alice da Silva','86739605','78057358035','F','1997-9-2');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (125,'Miguel Dias','28039310','69246149787','M','1980-2-23');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (126,'Miguel Moreira','22143039','95443897280','M','1986-10-7');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (127,'Miguel de Lima','29848889','14759516783','M','1974-12-19');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (128,'Miguel de Sousa','21366649','13107475391','M','1995-8-25');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (129,'Miguel Nunes','55907057','84652083261','M','1988-4-10');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (130,'Miguel da Costa','83269212','42562556673','M','1971-7-20');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (131,'Miguel de Almeida','66754446','72426549298','M','1984-11-7');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (132,'Miguel Mendes','31671269','41860417466','M','1964-2-21');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (133,'Miguel Carvalho','58728874','8510990419','M','1974-5-15');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (134,'Miguel Araujo','31725015','78020733727','M','1999-10-11');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (135,'Miguel Cardoso','86740060','2127716998','M','1997-6-3');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (136,'Miguel Teixeira','1943141','6749986749','M','1994-7-29');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (137,'Miguel Marques','31243470','55576452224','M','1973-9-10');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (138,'Miguel do Nascimento','26171632','75485925189','M','1982-3-19');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (139,'Miguel Almeida','79220481','70276969950','M','1985-12-15');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (140,'Miguel Ramos','80271968','86322036342','M','2002-4-19');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (141,'Miguel Machado','25346252','51740802245','M','1987-2-5');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (142,'Miguel Rocha','62275476','41156803506','M','1965-12-28');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (143,'Miguel Nascimento','6952026','22383626119','M','1979-12-6');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (144,'Miguel de Araujo','97717004','59910630546','M','1961-11-6');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (145,'Miguel da Conceiçao','30790498','37482034536','M','1988-4-16');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (146,'Miguel Bezerra','77178073','79493973070','M','2003-1-12');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (147,'Miguel Sousa','24307136','30987915287','M','1999-10-4');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (148,'Miguel Borges','57090056','30414785681','M','1976-4-1');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (149,'Miguel Santana','97546376','21257258004','M','1985-8-29');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (150,'Miguel de Carvalho','58118442','93753794177','M','1985-8-25');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (151,'Miguel Aparecido','72168614','69146325019','M','1977-7-13');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (152,'Miguel Pinto','41726788','49302427382','M','1979-7-26');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (153,'Miguel Pinheiro','58673443','91873670348','M','1973-5-30');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (154,'Miguel Monteiro','21902565','78562504735','M','2000-1-13');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (155,'Miguel Andrade','45978680','12473114931','M','1967-12-15');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (156,'Miguel Leite','3073532','72522344484','M','1982-7-29');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (157,'Miguel Correa','97010345','76646443128','M','1999-6-19');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (158,'Miguel Nogueira','16757575','33413281102','M','1972-1-13');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (159,'Miguel Garcia','42434078','98013713525','M','1975-4-11');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (160,'Miguel de Freitas','62671029','82209651143','M','2001-8-19');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (161,'Miguel Henrique','7280666','17992536735','M','1982-5-25');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (162,'Miguel Tavares','14096513','70162254297','M','1965-4-15');
